feature,importance
"value__linear_trend__attr_""pvalue""",1355
value__absolute_maximum,1314
value__ar_coefficient__coeff_1__k_10,1295
value__energy_ratio_by_chunks__num_segments_10__segment_focus_0,1057
"value__fft_coefficient__attr_""abs""__coeff_1",993
"value__agg_autocorrelation__f_agg_""var""__maxlag_40",990
value__index_mass_quantile__q_0.9,950
value__index_mass_quantile__q_0.1,938
"value__agg_autocorrelation__f_agg_""mean""__maxlag_40",810
value__spkt_welch_density__coeff_2,809
value__friedrich_coefficients__coeff_2__m_3__r_30,798
value__energy_ratio_by_chunks__num_segments_10__segment_focus_9,785
"value__fft_coefficient__attr_""real""__coeff_1",785
"value__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",783
"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",776
"value__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""",773
value__energy_ratio_by_chunks__num_segments_10__segment_focus_4,723
value__spkt_welch_density__coeff_5,717
value__index_mass_quantile__q_0.8,704
"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""",681
"value__fft_coefficient__attr_""abs""__coeff_4",677
value__partial_autocorrelation__lag_2,668
value__ar_coefficient__coeff_2__k_10,663
value__variation_coefficient,661
"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",649
"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""var""",634
value__energy_ratio_by_chunks__num_segments_10__segment_focus_5,634
value__index_mass_quantile__q_0.2,632
value__energy_ratio_by_chunks__num_segments_10__segment_focus_8,631
value__partial_autocorrelation__lag_3,580
value__index_mass_quantile__q_0.4,563
value__mean_n_absolute_max__number_of_maxima_7,553
"value__fft_coefficient__attr_""abs""__coeff_6",542
value__c3__lag_1,540
"value__fft_coefficient__attr_""real""__coeff_0",531
value__index_mass_quantile__q_0.3,527
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",523
value__energy_ratio_by_chunks__num_segments_10__segment_focus_2,515
value__fourier_entropy__bins_10,514
value__energy_ratio_by_chunks__num_segments_10__segment_focus_6,514
value__energy_ratio_by_chunks__num_segments_10__segment_focus_1,512
"value__fft_coefficient__attr_""abs""__coeff_2",510
value__friedrich_coefficients__coeff_0__m_3__r_30,510
value__ratio_beyond_r_sigma__r_0.5,510
value__energy_ratio_by_chunks__num_segments_10__segment_focus_7,509
value__cid_ce__normalize_False,509
"value__fft_coefficient__attr_""angle""__coeff_1",501
"value__fft_aggregated__aggtype_""kurtosis""",499
"value__augmented_dickey_fuller__attr_""usedlag""__autolag_""AIC""",499
"value__agg_autocorrelation__f_agg_""median""__maxlag_40",496
value__energy_ratio_by_chunks__num_segments_10__segment_focus_3,489
value__kurtosis,489
"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",483
"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",477
value__partial_autocorrelation__lag_4,472
"value__fft_coefficient__attr_""abs""__coeff_7",470
value__sum_values,469
"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""",468
"value__fft_coefficient__attr_""abs""__coeff_0",462
"value__fft_coefficient__attr_""abs""__coeff_3",462
value__index_mass_quantile__q_0.7,459
value__c3__lag_2,456
value__binned_entropy__max_bins_10,454
"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",452
value__ar_coefficient__coeff_10__k_10,448
value__standard_deviation,446
value__quantile__q_0.2,444
value__index_mass_quantile__q_0.6,440
value__partial_autocorrelation__lag_7,434
"value__fft_coefficient__attr_""abs""__coeff_5",426
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8",416
value__ar_coefficient__coeff_3__k_10,405
"value__fft_coefficient__attr_""real""__coeff_3",402
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",396
value__quantile__q_0.8,393
value__c3__lag_3,389
value__autocorrelation__lag_7,389
value__quantile__q_0.7,387
value__quantile__q_0.1,387
value__autocorrelation__lag_5,385
"value__fft_coefficient__attr_""real""__coeff_2",384
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",382
value__ratio_beyond_r_sigma__r_1.5,379
value__autocorrelation__lag_6,377
value__fourier_entropy__bins_100,374
value__mean_abs_change,373
value__ar_coefficient__coeff_8__k_10,369
value__partial_autocorrelation__lag_5,366
